date,nasdaq
2018-01-02,7006.89990234375
2018-01-03,7065.52978515625
2018-01-04,7077.91015625
2018-01-05,7136.56005859375
2018-01-08,7157.39013671875
2018-01-09,7163.580078125
2018-01-10,7153.56982421875
2018-01-11,7211.77978515625
2018-01-12,7261.06005859375
2018-01-16,7223.68994140625
2018-01-17,7298.27978515625
2018-01-18,7296.0498046875
2018-01-19,7336.3798828125
2018-01-22,7408.02978515625
2018-01-23,7460.2900390625
2018-01-24,7415.06005859375
2018-01-25,7411.16015625
2018-01-26,7505.77001953125
2018-01-29,7466.509765625
2018-01-30,7402.47998046875
2018-01-31,7411.47998046875
2018-02-01,7385.85986328125
2018-02-02,7240.9501953125
2018-02-05,6967.52978515625
2018-02-06,7115.8798828125
2018-02-07,7051.97998046875
2018-02-08,6777.16015625
2018-02-09,6874.490234375
2018-02-12,6981.9599609375
2018-02-13,7013.509765625
2018-02-14,7143.6201171875
2018-02-15,7256.43017578125
2018-02-16,7239.47021484375
2018-02-20,7234.31005859375
2018-02-21,7218.22998046875
2018-02-22,7210.08984375
2018-02-23,7337.39013671875
2018-02-26,7421.4599609375
2018-02-27,7330.35009765625
2018-02-28,7273.009765625
2018-03-01,7180.56005859375
2018-03-02,7257.8701171875
2018-03-05,7330.7099609375
2018-03-06,7372.009765625
2018-03-07,7396.64990234375
2018-03-08,7427.9501953125
2018-03-09,7560.81005859375
2018-03-12,7588.31982421875
2018-03-13,7511.009765625
2018-03-14,7496.81005859375
2018-03-15,7481.740234375
2018-03-16,7481.990234375
2018-03-19,7344.240234375
2018-03-20,7364.2998046875
2018-03-21,7345.2900390625
2018-03-22,7166.68017578125
2018-03-23,6992.669921875
2018-03-26,7220.5400390625
2018-03-27,7008.81005859375
2018-03-28,6949.22998046875
2018-03-29,7063.4501953125
2018-04-02,6870.1201171875
2018-04-03,6941.27978515625
2018-04-04,7042.10986328125
2018-04-05,7076.5498046875
2018-04-06,6915.10986328125
2018-04-09,6950.33984375
2018-04-10,7094.2998046875
2018-04-11,7069.02978515625
2018-04-12,7140.25
2018-04-13,7106.64990234375
2018-04-16,7156.27978515625
2018-04-17,7281.10009765625
2018-04-18,7295.240234375
2018-04-19,7238.06005859375
2018-04-20,7146.1298828125
2018-04-23,7128.60009765625
2018-04-24,7007.35009765625
2018-04-25,7003.740234375
2018-04-26,7118.68017578125
2018-04-27,7119.7998046875
2018-04-30,7066.27001953125
2018-05-01,7130.7001953125
2018-05-02,7100.89990234375
2018-05-03,7088.14990234375
2018-05-04,7209.6201171875
2018-05-07,7265.2099609375
2018-05-08,7266.89990234375
2018-05-09,7339.91015625
2018-05-10,7404.97021484375
2018-05-11,7402.8798828125
2018-05-14,7411.31982421875
2018-05-15,7351.6298828125
2018-05-16,7398.2998046875
2018-05-17,7382.47021484375
2018-05-18,7354.33984375
2018-05-21,7394.0400390625
2018-05-22,7378.4599609375
2018-05-23,7425.9599609375
2018-05-24,7424.43017578125
2018-05-25,7433.85009765625
2018-05-29,7396.58984375
2018-05-30,7462.4501953125
2018-05-31,7442.1201171875
2018-06-01,7554.330078125
2018-06-04,7606.4599609375
2018-06-05,7637.85986328125
2018-06-06,7689.240234375
2018-06-07,7635.06982421875
2018-06-08,7645.509765625
2018-06-11,7659.93017578125
2018-06-12,7703.7900390625
2018-06-13,7695.7001953125
2018-06-14,7761.0400390625
2018-06-15,7746.3798828125
2018-06-18,7747.02978515625
2018-06-19,7725.58984375
2018-06-20,7781.509765625
2018-06-21,7712.9501953125
2018-06-22,7692.81982421875
2018-06-25,7532.009765625
2018-06-26,7561.6298828125
2018-06-27,7445.080078125
2018-06-28,7503.68017578125
2018-06-29,7510.2998046875
2018-07-02,7567.68994140625
2018-07-03,7502.669921875
2018-07-05,7586.43017578125
2018-07-06,7688.39013671875
2018-07-09,7756.2001953125
2018-07-10,7759.2001953125
2018-07-11,7716.60986328125
2018-07-12,7823.919921875
2018-07-13,7825.97998046875
2018-07-16,7805.72021484375
2018-07-17,7855.1201171875
2018-07-18,7854.43994140625
2018-07-19,7825.2998046875
2018-07-20,7820.2001953125
2018-07-23,7841.8701171875
2018-07-24,7840.77001953125
2018-07-25,7932.240234375
2018-07-26,7852.18017578125
2018-07-27,7737.419921875
2018-07-30,7630.0
2018-07-31,7671.7900390625
2018-08-01,7707.2900390625
2018-08-02,7802.68994140625
2018-08-03,7812.009765625
2018-08-06,7859.68017578125
2018-08-07,7883.66015625
2018-08-08,7888.330078125
2018-08-09,7891.77978515625
2018-08-10,7839.10986328125
2018-08-13,7819.7099609375
2018-08-14,7870.89013671875
2018-08-15,7774.1201171875
2018-08-16,7806.52001953125
2018-08-17,7816.330078125
2018-08-20,7821.009765625
2018-08-21,7859.169921875
2018-08-22,7889.10009765625
2018-08-23,7878.4599609375
2018-08-24,7945.97998046875
2018-08-27,8017.89990234375
2018-08-28,8030.0400390625
2018-08-29,8109.68994140625
2018-08-30,8088.35986328125
2018-08-31,8109.5400390625
2018-09-04,8091.25
2018-09-05,7995.169921875
2018-09-06,7922.72998046875
2018-09-07,7902.5400390625
2018-09-10,7924.16015625
2018-09-11,7972.47021484375
2018-09-12,7954.22998046875
2018-09-13,8013.7099609375
2018-09-14,8010.0400390625
2018-09-17,7895.7900390625
2018-09-18,7956.10986328125
2018-09-19,7950.0400390625
2018-09-20,8028.22998046875
2018-09-21,7986.9599609375
2018-09-24,7993.25
2018-09-25,8007.47021484375
2018-09-26,7990.3701171875
2018-09-27,8041.97021484375
2018-09-28,8046.35009765625
2018-10-01,8037.2998046875
2018-10-02,7999.5498046875
2018-10-03,8025.08984375
2018-10-04,7879.509765625
2018-10-05,7788.4501953125
2018-10-08,7735.9501953125
2018-10-09,7738.02001953125
2018-10-10,7422.0498046875
2018-10-11,7329.06005859375
2018-10-12,7496.89013671875
2018-10-15,7430.740234375
2018-10-16,7645.490234375
2018-10-17,7642.7001953125
2018-10-18,7485.14013671875
2018-10-19,7449.02978515625
2018-10-22,7468.6298828125
2018-10-23,7437.5400390625
2018-10-24,7108.39990234375
2018-10-25,7318.33984375
2018-10-26,7167.2099609375
2018-10-29,7050.2900390625
2018-10-30,7161.64990234375
2018-10-31,7305.89990234375
2018-11-01,7434.06005859375
2018-11-02,7356.990234375
2018-11-05,7328.85009765625
2018-11-06,7375.9599609375
2018-11-07,7570.75
2018-11-08,7530.8798828125
2018-11-09,7406.89990234375
2018-11-12,7200.8701171875
2018-11-13,7200.8701171875
2018-11-14,7136.39013671875
2018-11-15,7259.02978515625
2018-11-16,7247.8701171875
2018-11-19,7028.47998046875
2018-11-20,6908.81982421875
2018-11-21,6972.25
2018-11-23,6938.97998046875
2018-11-26,7081.85009765625
2018-11-27,7082.7001953125
2018-11-28,7291.58984375
2018-11-29,7273.080078125
2018-11-30,7330.5400390625
2018-12-03,7441.509765625
